
+---------------------------+--------+--------+-----------------+----------------------+------------+---------------+
| account HRNS              | exists | active | currency HRNS   | owner HRNS           |    balance | error message |
+---------------------------+--------+--------+-----------------+----------------------+------------+---------------+
| gvu.fr                    | yes    | yes    | vu.us           | qlx.ca               |       0.00 |               |
| fad.zz.xxc.us             | yes    | yes    | xe.global       | nh.us                |       0.00 |               |
| hl.zz.xxc.us              | yes    | yes    | elz.es          | vsp.de               |       0.00 |               |
| wl.ga.dmr.de              | yes    | yes    | mp.es           | zb.fr                |   -3444.81 |               |
| bi.iii.global             | yes    | yes    | dz.fr           | fug.uk               |       0.00 |               |
| ba.ca                     | yes    | yes    | cf.zz.xxc.us    | zb.fr                |     891.88 |               |
| pc.fr                     | yes    | yes    | nwb.dmr.de      | xx.xxc.us            |       0.00 |               |
| vbw.due.global            | yes    | yes    | swl.uk          | ej.due.global        |       0.00 |               |
| hnr.vy.uk                 | yes    | yes    | vu.us           | orw.de               |       0.00 |               |
| xqo.ca                    | yes    | yes    | mp.es           | alg.iii.global       |    4840.06 |               |
| vr.us                     | yes    | yes    | cx.us           | wbw.uk               |       0.00 |               |
| bpp.xxc.us                | yes    | yes    | gum.uk          | zb.fr                |       0.00 |               |
| yn.dmr.de                 | yes    | yes    | yv.cz.zz.xxc.us | rnn.es               |       0.00 |               |
| zxq.cd.due.global         | yes    | yes    | vu.us           | gaia.global          |       0.00 |               |
| ygx.iii.global            | yes    | yes    | vu.us           | xx.xxc.us            |       0.00 |               |
| ua.ne.us                  | yes    | yes    | ks.ca           | vsp.de               |       0.00 |               |
| zs.ca                     | yes    | yes    | vcf.de          | yf.ca                |       0.00 |               |
| em.xxc.us                 | yes    | yes    | gum.uk          | nk.xxc.us            |       0.00 |               |
| qnd.elo.uk                | yes    | yes    | cf.zz.xxc.us    | qlx.ca               |    6750.38 |               |
| xe.uk                     | yes    | yes    | swl.uk          | rg.uk                |       0.00 |               |
| muo.de                    | yes    | yes    | dts.zz.xxc.us   | xeq.dmr.de           |       0.00 |               |
| myz.ssk.global            | yes    | yes    | vcf.de          | kx.de                |       0.00 |               |
| yr.jov.cd.due.global      | yes    | yes    | cf.zz.xxc.us    | vf.global            |   -2435.95 |               |
| gvr.due.global            | yes    | yes    | dts.zz.xxc.us   | afn.de               |       0.00 |               |
| iem.dmr.de                | yes    | yes    | cx.us           | ro.us                |       0.00 |               |
| wk.fr                     | yes    | yes    | ic.ca           | alg.iii.global       |       0.00 |               |
| zxc.jov.cd.due.global     | yes    | yes    | yz.global       | rq.ca                |    -248.28 |               |
| jzz.jov.cd.due.global     | yes    | yes    | au.xxc.us       | bl.us                |       0.00 |               |
| xr.zz.xxc.us              | yes    | yes    | zpe.iii.global  | evt.czp.global       |       0.00 |               |
| js.xxc.us                 | yes    | yes    | cfd.due.global  | kkc.cz.zz.xxc.us     |       0.00 |               |
| tvr.scl.iii.global        | yes    | yes    | ug.lt.es        | yj.zz.xxc.us         |       0.00 |               |
| gm.zd.es                  | yes    | yes    | lb.de           | vf.global            |       0.00 |               |
| gpy.elo.uk                | yes    | yes    | swl.uk          | gzt.us               |       0.00 |               |
| frk.fkb.us                | yes    | yes    | vu.us           | jtc.ca               |       0.00 |               |
| it.de                     | yes    | yes    | jgs.lt.es       | kh.lc.ca             |       0.00 |               |
| im.len.iii.global         | yes    | yes    | xe.global       | rnn.es               |       0.00 |               |
| bdu.cz.zz.xxc.us          | yes    | yes    | cxg.zm.de       | rnn.es               |       0.00 |               |
| kw.vd.dmr.de              | yes    | yes    | mp.es           | jtc.ca               |    -335.26 |               |
| vv.cw.og.es               | yes    | yes    | cxg.zm.de       | ng.due.global        |       0.00 |               |
| xe.zd.es                  | yes    | yes    | cx.us           | myl.elo.uk           |       0.00 |               |
| vs.yp.cz.zz.xxc.us        | yes    | yes    | dnj.og.es       | oyt.es               |       0.00 |               |
| sg.nwy.fr                 | yes    | yes    | cfd.due.global  | bl.us                |       0.00 |               |
| af.ne.us                  | yes    | yes    | vcf.de          | rg.uk                |       0.00 |               |
| ts.nwy.fr                 | yes    | yes    | jgs.lt.es       | grd.cd.due.global    |       0.00 |               |
| qy.global                 | yes    | yes    | yz.global       | sr.zz.xxc.us         |   -3139.74 |               |
| qo.scl.iii.global         | yes    | yes    | zpe.iii.global  | lw.vu.cd.due.global  |       0.00 |               |
| ha.global                 | yes    | yes    | zpe.iii.global  | fug.uk               |       0.00 |               |
| fq.bip.xxc.us             | yes    | yes    | yz.global       | oom.scl.iii.global   |    -915.16 |               |
| sdg.ga.dmr.de             | yes    | yes    | cf.zz.xxc.us    | gd.due.global        |    -312.57 |               |
| qmj.len.iii.global        | yes    | yes    | ga.es           | oji.elo.uk           |       0.00 |               |
| da.iii.global             | yes    | yes    | ga.es           | bm.cz.zz.xxc.us      |       0.00 |               |
| zz.zm.de                  | yes    | yes    | ywy.vd.dmr.de   | isn.uk               |       0.00 |               |
| daw.cd.due.global         | yes    | yes    | mp.es           | zn.cz.zz.xxc.us      |    2511.31 |               |
| jo.ycc.cd.due.global      | yes    | yes    | vcf.de          | lj.zz.xxc.us         |       0.00 |               |
| huh.uk                    | yes    | yes    | ywy.vd.dmr.de   | kkc.cz.zz.xxc.us     |       0.00 |               |
| qlc.cd.due.global         | yes    | yes    | nwb.dmr.de      | cp.global            |       0.00 |               |
| xb.nwy.fr                 | yes    | yes    | qeo.due.global  | fz.ga.dmr.de         |       0.00 |               |
| vg.zd.es                  | yes    | yes    | cxg.zm.de       | rnn.es               |       0.00 |               |
| pd.yib.ca                 | yes    | yes    | au.xxc.us       | myl.elo.uk           |       0.00 |               |
| vx.nwy.fr                 | yes    | yes    | qeo.due.global  | gzt.us               |       0.00 |               |
| bw.lt.es                  | yes    | yes    | ug.lt.es        | lpq.de               |       0.00 |               |
| ii.jov.cd.due.global      | yes    | yes    | cop.ga.dmr.de   | rnn.es               |       0.00 |               |
| xxn.fkb.us                | yes    | yes    | yz.global       | jwq.xxc.us           |    5339.85 |               |
| dua.cd.due.global         | yes    | yes    | nwb.dmr.de      | yyp.yib.ca           |       0.00 |               |
| ed.vu.cd.due.global       | yes    | yes    | xe.global       | afx.jao.czp.global   |       0.00 |               |
| ci.cd.due.global          | yes    | yes    | bu.de           | zbx.ca               |       0.00 |               |
| plj.cd.due.global         | yes    | yes    | xe.global       | grd.cd.due.global    |       0.00 |               |
| nrx.zd.es                 | yes    | yes    | jgs.lt.es       | rq.ca                |       0.00 |               |
| uwz.fkb.us                | yes    | yes    | yv.cz.zz.xxc.us | rq.ca                |       0.00 |               |
| yjl.es                    | yes    | yes    | gj.due.global   | yyp.yib.ca           |       0.00 |               |
| do.uk                     | yes    | yes    | pkr.us          | qqf.xxc.us           |       0.00 |               |
| mk.de                     | yes    | yes    | qeo.due.global  | oom.scl.iii.global   |       0.00 |               |
| hdp.vy.uk                 | yes    | yes    | dts.zz.xxc.us   | cp.global            |       0.00 |               |
| kt.zm.de                  | yes    | yes    | pkr.us          | akk.global           |       0.00 |               |
| rm.len.iii.global         | yes    | yes    | dts.zz.xxc.us   | hiy.es               |       0.00 |               |
| ryj.due.global            | yes    | yes    | cf.zz.xxc.us    | ju.es                |    -922.10 |               |
| mqv.de                    | yes    | yes    | yz.global       | vf.global            |    -781.78 |               |
| vu.len.iii.global         | yes    | yes    | cfd.due.global  | jv.de                |       0.00 |               |
| cri.ne.us                 | yes    | yes    | pkr.us          | ng.due.global        |       0.00 |               |
| ihg.vu.cd.due.global      | yes    | yes    | mp.es           | io.elo.uk            |    1816.49 |               |
| ed.ycc.cd.due.global      | yes    | yes    | elz.es          | gcc.uk               |       0.00 |               |
| iap.due.global            | yes    | yes    | dts.zz.xxc.us   | zbx.ca               |       0.00 |               |
| xmq.ssk.global            | yes    | yes    | cx.us           | vsp.de               |       0.00 |               |
| dgw.len.iii.global        | yes    | yes    | bu.de           | zn.cz.zz.xxc.us      |       0.00 |               |
| fbi.elo.uk                | yes    | yes    | gj.due.global   | afn.de               |       0.00 |               |
| sir.es                    | yes    | yes    | zpe.iii.global  | ro.jov.cd.due.global |       0.00 |               |
| bp.global                 | yes    | yes    | bu.de           | xze.zz.xxc.us        |       0.00 |               |
| xf.ssk.global             | yes    | yes    | jap.elo.uk      | lw.vu.cd.due.global  |       0.00 |               |
| zk.ycc.cd.due.global      | yes    | yes    | cf.zz.xxc.us    | fug.uk               |   -1639.59 |               |
| cz.ne.us                  | yes    | yes    | dnj.og.es       | lw.vu.cd.due.global  |       0.00 |               |
| tv.cd.due.global          | yes    | yes    | cx.us           | gaia.global          |       0.00 |               |
| hur.lt.es                 | yes    | yes    | ks.ca           | yt.czp.global        |       0.00 |               |
| pyt.cz.zz.xxc.us          | yes    | yes    | yv.cz.zz.xxc.us | evt.czp.global       |       0.00 |               |
| km.cz.zz.xxc.us           | yes    | yes    | pkr.us          | hiy.es               |       0.00 |               |
| jy.de                     | yes    | yes    | bu.de           | oji.elo.uk           |       0.00 |               |
| yqe.ai.bip.xxc.us         | yes    | yes    | vu.us           | evt.czp.global       |       0.00 |               |
| ef.vy.uk                  | yes    | yes    | gj.due.global   | ej.due.global        |       0.00 |               |
