
+----------------------------------+---------------------------+-------------+---------------+
| FPH                              | HRNS                      | entity type | error message |
+----------------------------------+---------------------------+-------------+---------------+
| a22f556a6a7dcefc0bb010f983aa55d1 | wm.ca                     | primid      |               |
| 8eb9c5f2eaea12e111657c3f43d616a5 | iu.global                 | secid       |               |
| c1a64b5fa52f89d42b51712386dbcfa0 | uk.de                     | account     |               |
| 3d0030ff98a3e5409a09ca30c61e13ed | cf.ca                     | primid      |               |
| 4d20d392b79d0eb8dd94b8461f941e8f | gar.global                | namespace   |               |
| 0a6bcbbd01b590b2b5c01404b2c652d2 | dte.de                    | secid       |               |
| b3ca2c5a60333ca415dc0dc5cb7fb16b | yex.global                | namespace   |               |
| eb8df4562b10ff2b5ad58041727a7667 | nr.gar.global             | namespace   |               |
| 1687138cb23b6af2d58fe96b0617a952 | upn.fr                    | secid       |               |
| b23b618f482405ffa38f2a965d470ccf | cfu.de                    | secid       |               |
| 0cdc43ec85dedcbefd0458145ae90aa2 | gn.de                     | namespace   |               |
| 705446299860894aea1f51d8fa2c6ea2 | xd.gar.global             | currency    |               |
| cc49b58f19ce7892e8119cf0c0d98abe | jdb.nr.gar.global         | primid      |               |
| 24ad8a95de90422fd4e93bb5cabedcd2 | cqx.us                    | account     |               |
| 93fbddb4b65480ee8946539b31d02004 | xvb.uk                    | primid      |               |
| 5d45f8bc1490ec3a251ee3ca206e531b | iop.de                    | secid       |               |
| aea25343eab0640b4857e31f17f30699 | rpc.global                | namespace   |               |
| 9ffe288f9bc509814856f14e45bba396 | wv.yex.global             | namespace   |               |
| 8cfa68462f5e70c575ca5d84408609fb | ge.us                     | account     |               |
| dc5e11b9e4ba847fb3e08b1aabf205cb | oik.uk                    | account     |               |
| c26364731a941ef4c0404a5bf3e9a702 | lnq.es                    | secid       |               |
| 977b7eea5ee63901513d79953b1d6f62 | eoj.ca                    | account     |               |
| e94bab372c86e48fdf11f307028963ec | qu.de                     | currency    |               |
| bc693014cababad8e45e8ba53e14ec32 | qu.fr                     | primid      |               |
| ad8874341d2e9b9c1e7090d33bbb4c49 | my.gar.global             | account     |               |
| 9f9cc924bcbec65bddb52e0f58557190 | fv.us                     | secid       |               |
| 8dd8c7b2dd3cc1be65943e7b62d26a31 | abr.gar.global            | secid       |               |
| bc2b8f03f0658abdb5eb38570f117450 | vn.gar.global             | secid       |               |
| 37c63a1667c900c843121ebc02bb2f68 | tx.gn.de                  | currency    |               |
| c0e707622eb7229d9640faf0de182124 | jj.yex.global             | secid       |               |
| 526c1a56918271c7e8890bfd81b10436 | vt.global                 | currency    |               |
| f0083e954101b4874d5044ca0252292f | isv.es                    | namespace   |               |
| eed694b9d8050fc90269490ecf957af4 | age.rpc.global            | primid      |               |
| 4d5cc3e15a05887e2c2995759e81eedc | xr.global                 | account     |               |
| 901047e49dd0b0a395cbaf38fc265aaa | nz.global                 | primid      |               |
| a1d34ccef26c87ebac4a22f875df76e3 | gc.de                     | currency    |               |
| 302797fe705124f6f1649c781815b572 | qqb.uk                    | currency    |               |
| 340e4f59b0f9b2740236707060059994 | mcz.fr                    | currency    |               |
| d33174ac15cd34d73db00165646e9ec8 | vxj.fr                    | namespace   |               |
| 4f25b8529d3e9d6f5443238d1c8a7ac9 | fg.es                     | currency    |               |
| d6e78a4ac89a16f31460040764d07230 | xhj.isv.es                | currency    |               |
| 49ca82d1ac752c01e2d945a85c851f7b | gq.rpc.global             | namespace   |               |
| 9b8bac691f8f7b2bc8c27672c9ce6e9f | vc.yex.global             | currency    |               |
| e94c6ab2bcac0748c47328a0ae4ab71d | utz.gq.rpc.global         | secid       |               |
| 6f22f86ae887960da8fdb16ebc3a83b8 | szy.gq.rpc.global         | secid       |               |
| 712d4de8f5704ba1c2d12754c5c68f5e | fdd.de                    | secid       |               |
| 37542235697c089a894a5243dc8c4290 | hd.gq.rpc.global          | secid       |               |
| c22a651c2dac73530faaa36374679fd6 | vie.us                    | currency    |               |
| 3b915ef02e9a7a6667b99ec65742a56d | ei.us                     | primid      |               |
| 87854e1febe5b4777f4718850d62aa03 | cs.vxj.fr                 | primid      |               |
| 0376c7d127d557d18e1d295a2e6d7801 | fjq.de                    | namespace   |               |
| 91068d2925da98a8d5d6cb1214838d67 | io.gn.de                  | namespace   |               |
| 8406ffd12b273dd1c3057afd71f1628c | ycx.io.gn.de              | namespace   |               |
| d00d2c0437ec4db18849ddebaeb2faec | awb.ycx.io.gn.de          | secid       |               |
| e7d13f6c2b79f67461b0142d9154c709 | myg.rpc.global            | secid       |               |
| 56152e65e19d43db90b98a41186a2a81 | ux.isv.es                 | primid      |               |
| 1d85e51588e08efbf4cf30db09553bdc | aq.vxj.fr                 | secid       |               |
| 1fac7f2f8ba16a52e2fbeae3059a7146 | bfe.fr                    | currency    |               |
| 3a0d54a4a122058953185076745c47a7 | yi.rpc.global             | currency    |               |
| 4dd8cf1a3b269409cbf3b2a061bb1cf3 | vbx.rpc.global            | namespace   |               |
| 88100036107109c6f15a21204c4fda66 | cld.us                    | account     |               |
| 62ac1ee9acbcb4d76d023001c6083c38 | fia.fr                    | secid       |               |
| 18e2fb186ea8cd56fa75449b4ec25ec2 | wy.ycx.io.gn.de           | primid      |               |
| 23fa4a055ff89ee5154339fadd95464b | zay.gar.global            | account     |               |
| 36d2b960bdf0157a40d9fd1cb3b067b9 | hkl.global                | namespace   |               |
| 22f700748f02a7d6262c867dd7e3fb31 | rqt.yex.global            | account     |               |
| ec437826197c335a9c5a6836360c6849 | tbp.io.gn.de              | currency    |               |
| fcb3a7678d0652e75539f09cf1f01f48 | hg.es                     | account     |               |
| 687e85f8e0223a5a312d84b80965eef3 | gkw.hkl.global            | account     |               |
| 0542fe44d3a554c450f93bf43bedeeb3 | ykp.vxj.fr                | namespace   |               |
| 5ffede8117ef258024799f19a5fff8c1 | zd.wv.yex.global          | secid       |               |
| 378ab85995bd95f713056aac503c66fe | yi.gq.rpc.global          | primid      |               |
| 4135bfff53ab90a6dcdc24378e514337 | ibc.yex.global            | account     |               |
